complaint_id,resident_id,description,location,category,priority,status,timestamp,assigned_staff
CMP0001,RES652,no water supply please fix ASAP,Block B,Plumbing,Critical,Assigned,2026-02-10 03:10:00,TECH49
CMP0002,RES651,clubhouse washroom unclean please fix ASAP,Main Gate,Cleanliness,Low,Resolved,2026-01-19 09:46:00,
CMP0003,RES574,Issue: CCTV camera broken,Main Gate,Security,Low,Assigned,2026-01-19 08:05:00,TECH12
CMP0004,RES138,Drainage blocked,Block B,Plumbing,Low,Assigned,2026-01-22 09:05:00,
CMP0005,RES123,Overhead tank overflowing,Clubhouse,Plumbing,Low,Assigned,2026-02-04 13:59:00,TECH31
CMP0006,RES470,Issue: Boom barrier not opening,Block B,Security,High,In Progress,2025-12-14 17:01:00,TECH24
CMP0007,RES259,kitchen sink pipe leaking please fix ASAP,Block B,Plumbing,Low,Closed,2026-02-11 17:03:00,TECH50
CMP0008,RES136,Issue: Corridor sweeping missed,Clubhouse,Cleanliness,Medium,In Progress,2026-02-08 09:16:00,
CMP0009,RES293,bypass entry detected please fix ASAP,Block C,Security,Low,Closed,2026-01-28 08:01:00,TECH33
CMP0010,RES938,Issue: Foul smell near dustbin,Basement Parking,Cleanliness,Low,Assigned,2026-02-24 10:28:00,TECH49
CMP0011,RES877,Overhead tank overflowing,Main Gate,Plumbing,High,In Progress,2025-12-29 17:37:00,TECH18
CMP0012,RES348,Issue: CCTV camera broken,Block A,Security,Medium,Assigned,2026-03-07 00:30:00,TECH12
CMP0013,RES478,Lift fan not working,Main Gate,Elevator,Medium,Open,2025-12-21 13:27:00,TECH21
CMP0014,RES769,main gate unattended please fix ASAP,Block C,Security,Critical,Assigned,2025-12-20 10:50:00,TECH49
CMP0015,RES372,Main door lock stuck,Basement Parking,Carpentry,High,Closed,2026-02-08 05:00:00,TECH23
CMP0016,RES824,Garbage not collected,Basement Parking,Cleanliness,Medium,Assigned,2026-03-03 05:43:00,TECH42
CMP0017,RES467,cctv camera broken please fix ASAP,Block A,Security,Critical,In Progress,2026-02-22 01:35:00,
