feedback_id,complaint_id,resident_id,rating,comment,sentiment_label
FB0001,CMP0097,RES305,4,Satisfied with service.,Positive
FB0002,CMP0191,RES207,5,Satisfied with service.,Positive
FB0003,CMP0087,RES228,2,Unprofessional.,Negative
FB0004,CMP0074,RES250,4,Issue fixed permanently.,Positive
FB0005,CMP0098,RES998,1,Unprofessional.,Negative
FB0006,CMP0052,RES468,5,Satisfied with service.,Positive
FB0007,CMP0060,RES999,2,Staff was rude.,Negative
FB0008,CMP0250,RES865,5,Issue fixed permanently.,Positive
FB0009,CMP0127,RES338,5,Excellent work.,Positive
FB0010,CMP0009,RES115,5,Very polite staff.,Positive
FB0011,CMP0209,RES149,4,Issue fixed permanently.,Positive
FB0012,CMP0065,RES622,1,Took 3 days to come.,Negative
FB0013,CMP0055,RES354,1,Still not working.,Negative
FB0014,CMP0108,RES993,3,Okay work.,Neutral
FB0015,CMP0051,RES469,5,Very polite staff.,Positive
FB0016,CMP0040,RES406,4,Very polite staff.,Positive
FB0017,CMP0233,RES802,2,Staff was rude.,Negative
FB0018,CMP0171,RES424,3,Could be better.,Neutral
FB0019,CMP0067,RES489,3,Fixed for now.,Neutral
FB0020,CMP0020,RES269,1,Staff was rude.,Negative
FB0021,CMP0152,RES669,4,"Quick resolution, thanks!",Positive
FB0022,CMP0135,RES789,1,Took 3 days to come.,Negative
FB0023,CMP0234,RES171,1,Terrible service.,Negative
FB0024,CMP0097,RES784,3,Average service.,Neutral
FB0025,CMP0075,RES945,1,Terrible service.,Negative
FB0026,CMP0234,RES689,5,Issue fixed permanently.,Positive
FB0027,CMP0107,RES771,4,Very polite staff.,Positive
FB0028,CMP0166,RES902,5,Issue fixed permanently.,Positive
FB0029,CMP0097,RES141,3,Took some time but fixed.,Neutral
FB0030,CMP0181,RES945,3,Fixed for now.,Neutral
FB0031,CMP0072,RES790,2,Unprofessional.,Negative
FB0032,CMP0133,RES713,5,Excellent work.,Positive
FB0033,CMP0221,RES849,1,Unprofessional.,Negative
FB0034,CMP0236,RES284,4,Satisfied with service.,Positive
FB0035,CMP0196,RES602,1,Staff was rude.,Negative
FB0036,CMP0140,RES366,1,Unprofessional.,Negative
FB0037,CMP0243,RES838,4,Excellent work.,Positive
FB0038,CMP0190,RES507,5,Issue fixed permanently.,Positive
FB0039,CMP0026,RES233,1,Waste of time.,Negative
FB0040,CMP0185,RES341,1,Still not working.,Negative
FB0041,CMP0035,RES225,5,Excellent work.,Positive
FB0042,CMP0165,RES785,4,Very polite staff.,Positive
FB0043,CMP0115,RES421,4,Satisfied with service.,Positive
FB0044,CMP0009,RES849,2,Terrible service.,Negative
FB0045,CMP0233,RES613,4,Excellent work.,Positive
FB0046,CMP0057,RES214,2,Unprofessional.,Negative
FB0047,CMP0098,RES288,3,Took some time but fixed.,Neutral
FB0048,CMP0115,RES786,3,Could be better.,Neutral
FB0049,CMP0010,RES994,1,Terrible service.,Negative
FB0050,CMP0035,RES800,4,"Quick resolution, thanks!",Positive
FB0051,CMP0078,RES891,1,Waste of time.,Negative
FB0052,CMP0160,RES930,4,Issue fixed permanently.,Positive
FB0053,CMP0228,RES540,2,Waste of time.,Negative
FB0054,CMP0041,RES257,5,Excellent work.,Positive
FB0055,CMP0127,RES267,1,Unprofessional.,Negative
FB0056,CMP0131,RES576,4,Satisfied with service.,Positive
FB0057,CMP0052,RES179,1,Still not working.,Negative
FB0058,CMP0130,RES341,5,Very polite staff.,Positive
FB0059,CMP0185,RES498,4,"Quick resolution, thanks!",Positive
FB0060,CMP0196,RES706,3,Okay work.,Neutral
FB0061,CMP0222,RES759,5,Satisfied with service.,Positive
FB0062,CMP0139,RES872,1,Terrible service.,Negative
FB0063,CMP0037,RES869,1,Terrible service.,Negative
FB0064,CMP0216,RES802,2,Terrible service.,Negative
FB0065,CMP0159,RES936,3,Average service.,Neutral
FB0066,CMP0239,RES123,5,Issue fixed permanently.,Positive
FB0067,CMP0235,RES996,1,Unprofessional.,Negative
FB0068,CMP0161,RES269,5,Excellent work.,Positive
FB0069,CMP0103,RES707,3,Okay work.,Neutral
FB0070,CMP0136,RES334,1,Staff was rude.,Negative
FB0071,CMP0133,RES339,2,Still not working.,Negative
FB0072,CMP0238,RES684,2,Terrible service.,Negative
FB0073,CMP0044,RES273,2,Still not working.,Negative
FB0074,CMP0184,RES632,1,Unprofessional.,Negative
FB0075,CMP0201,RES294,3,Could be better.,Neutral
FB0076,CMP0151,RES459,2,Unprofessional.,Negative
FB0077,CMP0249,RES181,3,Took some time but fixed.,Neutral
FB0078,CMP0083,RES901,4,Satisfied with service.,Positive
FB0079,CMP0120,RES385,3,Fixed for now.,Neutral
FB0080,CMP0049,RES799,3,Fixed for now.,Neutral
FB0081,CMP0080,RES355,5,Satisfied with service.,Positive
FB0082,CMP0175,RES587,2,Waste of time.,Negative
FB0083,CMP0230,RES118,5,"Quick resolution, thanks!",Positive
FB0084,CMP0178,RES683,3,Okay work.,Neutral
FB0085,CMP0085,RES191,5,Satisfied with service.,Positive
FB0086,CMP0069,RES270,4,Issue fixed permanently.,Positive
FB0087,CMP0079,RES382,5,Excellent work.,Positive
FB0088,CMP0097,RES278,1,Took 3 days to come.,Negative
